Designação;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Idade mediana da população residente;1º quartil da idade da população residente;3º quartil da idade da população residente
Portugal;0,44;-0,39;0,83;47;26,7;64,2
 Continente;0,45;-0,39;0,84;47,1;26,7;64,4
  Norte;0,59;-0,35;0,94;47,4;27,1;63,9
   Alto Minho;0,15;-0,74;0,89;50,3;29,6;67,5
Arcos de Valdevez;0;-1,2;1,2;55,4;33,6;71,8
Caminha;1,04;-0,71;1,75;51,4;30,7;68,2
Melgaço;-1,18;-2,18;1,01;61,6;40,6;74,5
Monção;0,11;-1,11;1,22;54,7;34;70,6
Paredes de Coura;-0,17;-1,11;0,93;51,7;31,6;69,1
Ponte da Barca;0,4;-0,8;1,2;51,4;30;68,5
Ponte de Lima;-0,35;-0,64;0,28;48,2;27,4;65
Valença;0,71;-0,69;1,4;48,2;28,3;66,1
Viana do Castelo;0,11;-0,45;0,56;48,8;28,2;65,7
Vila Nova de Cerveira;1,86;-0,72;2,57;48,2;28,6;66,4
   Cávado;0,84;-0,08;0,92;45,4;25,6;61,6
Amares;1,71;-0,26;1,97;46;25,8;62,9
Barcelos;-0,13;-0,19;0,06;46,3;26;61,9
Braga;1,18;0,07;1,11;44,4;25,2;60,7
Esposende;1,52;0,05;1,47;45,3;25,5;61,8
Terras de Bouro;-0,09;-1,12;1,02;52,3;29,9;68
Vila Verde;1,07;-0,36;1,43;45,7;25,5;62,9
   Ave;0,19;-0,15;0,34;46,9;26,7;62,8
Cabeceiras de Basto;-0,31;-0,77;0,46;47,6;26,4;64,2
Fafe;-0,13;-0,36;0,23;48;27,7;64,4
Guimarães;-0,13;-0,07;-0,07;46,7;26,8;62,4
Mondim de Basto;-0,36;-0,87;0,51;52,3;29,8;67,5
Póvoa de Lanhoso;0,86;-0,43;1,28;47,6;26,6;63,8
Vieira do Minho;-0,26;-0,85;0,59;53,2;31,2;68,4
Vila Nova de Famalicão;0,59;-0,02;0,62;46,1;26,2;61,9
Vizela;0,72;0,15;0,57;44,9;25,8;60,4
   A. M. Porto;1,03;-0,28;1,31;46,8;26,9;63,3
Arouca;-0,65;-0,46;-0,2;48,3;26,9;64,9
Espinho;1,07;-0,64;1,71;51,1;29,3;67,3
Gondomar;0,74;-0,3;1,04;47,1;26,8;63,1
Maia;1,76;-0,09;1,85;45,5;25,5;61,2
Matosinhos;1,12;-0,31;1,43;47,5;27,7;64,1
Oliveira de Azeméis;0,3;-0,34;0,65;48,5;28,2;64,4
Paredes;0,43;-0,04;0,48;44,3;24,3;59,4
Porto;1,93;-0,49;2,41;47;28;65,7
Póvoa de Varzim;1,41;-0,21;1,62;45,8;25,5;62,3
Santa Maria da Feira;0,71;-0,15;0,86;47,1;26,8;62,9
Santo Tirso;-0,05;-0,48;0,44;49,5;29,2;65,4
São João da Madeira;2,13;-0,4;2,53;47;27,3;63,4
Trofa;1,18;-0,17;1,35;45,8;26,6;61,9
Vale de Cambra;-0,35;-0,77;0,41;51;30,5;67,6
Valongo;1,62;-0,15;1,77;45,1;25,8;61,3
Vila do Conde;1,53;-0,1;1,63;45,7;25,7;62
Vila Nova de Gaia;0,54;-0,27;0,81;46,8;26,8;63
   Alto Tâmega;-0,4;-1,25;0,84;56,6;35;71,1
Boticas;-0,71;-1,14;0,43;57,9;37,3;72,1
Chaves;-0,32;-1,01;0,69;54,4;33,1;70
Montalegre;-0,76;-1,64;0,87;59,9;38,8;73,3
Ribeira de Pena;-0,6;-1,42;0,82;54,2;32,2;69,2
Valpaços;-0,24;-1,4;1,16;59,8;38,2;73,3
Vila Pouca de Aguiar;-0,37;-1,46;1,1;57;35;70,7
   Tâmega e Sousa;-0,13;-0,25;0,11;46,1;25,6;61,6
Amarante;-0,05;-0,38;0,33;48,3;27;63,9
Baião;-1,03;-0,86;-0,17;49,4;28,2;64,3
Castelo de Paiva;-0,39;-0,36;-0,03;48,1;26,5;62,9
Celorico de Basto;-0,35;-0,72;0,36;48,9;27,5;64,9
Cinfães;-0,81;-0,75;-0,06;50,1;28,2;65,9
Felgueiras;-0,47;-0,05;-0,42;45,5;25,8;61,1
Lousada;0,55;0,02;0,53;43,3;24,2;58,9
Marco de Canaveses;-0,32;-0,32;0;45,9;25,1;61
Paços de Ferreira;0,2;-0,02;0,23;44;24,7;59,4
Penafiel;0,11;-0,12;0,22;45;24,9;60,7
Resende;-1,11;-0,72;-0,39;50,4;28,8;65,9
   Douro;-0,22;-0,9;0,67;52;30,6;67,7
Alijó;-0,98;-1,18;0,2;55,4;34,1;70,2
Armamar;-0,6;-1,49;0,89;53,6;31,2;68,8
Carrazeda de Ansiães;-0,59;-1,29;0,7;57,6;36,1;72,3
Freixo de Espada à Cinta;-1,69;-2,22;0,53;55,6;32,7;72,9
Lamego;-0,41;-0,86;0,45;51,5;30,2;66,2
Mesão Frio;-0,65;-1,11;0,45;51,6;30;67,1
Moimenta da Beira;0,93;-0,66;1,59;51,9;28,8;68,3
Murça;-0,42;-1,45;1,03;56,8;34,9;71,3
Penedono;-0,32;-1,33;1;55,3;32,2;70,8
Peso da Régua;-0,64;-0,7;0,06;51,4;29,8;66,5
Sabrosa;0,29;-0,97;1,26;53,9;32,3;69,9
Santa Marta de Penaguião;-0,81;-1,18;0,37;54,5;33,1;69,1
São João da Pesqueira;-0,57;-0,85;0,28;51,2;29,9;67
Sernancelhe;0,63;-1,07;1,7;54,9;32,7;69,5
Tabuaço;-0,62;-1,11;0,5;54,9;32,2;69,4
Tarouca;1,1;-0,66;1,77;49,4;27,3;65,2
Torre de Moncorvo;-0,67;-1,57;0,9;59,9;37,9;73,6
Vila Nova de Foz Côa;-0,25;-1,53;1,27;56,7;35,5;71,4
Vila Real;0,02;-0,45;0,47;48,5;27,9;64,5
   Terras de Trás-os-Montes;-0,1;-1,07;0,97;54,6;32,8;70,5
Alfândega da Fé;-1,04;-1,41;0,38;58,2;34,9;72
Bragança;0,69;-0,66;1,35;49,7;28,7;67,5
Macedo de Cavaleiros;-0,12;-1,22;1,1;55,8;33,8;70,8
Miranda do Douro;-0,97;-1,26;0,28;58,5;38;73,3
Mirandela;-0,18;-1,03;0,85;53,4;31,7;69,7
Mogadouro;-0,57;-0,98;0,41;58,5;37,3;72,9
Vila Flor;-0,48;-1,41;0,93;55,7;34,5;71,2
Vimioso;0,12;-1,79;1,91;61,5;39;74,1
Vinhais;-1,47;-1,86;0,4;62,4;42,7;75,2
  Centro;0,17;-0,68;0,85;49,4;28,4;66,7
   Oeste;1,23;-0,46;1,69;47;26,3;64,5
Alcobaça;0,53;-0,5;1,03;49;27,8;65,9
Alenquer;1,82;-0,15;1,97;44,2;24;61,1
Arruda dos Vinhos;2,9;-0,2;3,1;44;22,5;59,6
Bombarral;1,94;-0,65;2,59;48,6;27,8;66,6
Cadaval;1,32;-1,23;2,56;50,2;28,2;68
Caldas da Rainha;0,81;-0,64;1,45;48,4;27,4;65,7
Lourinhã;1,6;-0,53;2,13;47,1;26,4;65,2
Nazaré;0,42;-0,7;1,11;48,6;27,8;66,1
Óbidos;2,91;-0,48;3,38;48,9;27,7;66
Peniche;0,4;-0,45;0,85;47,9;26,6;66
Sobral de Monte Agraço;2,88;-0,31;3,19;44,4;23,9;61,2
Torres Vedras;1,02;-0,35;1,37;46,2;26;63,3
   Região de Aveiro;0,62;-0,37;0,99;47,2;27,1;64,3
Águeda;0;-0,42;0,42;49,1;28,5;66
Albergaria-a-Velha;0,16;-0,48;0,64;47;26,8;63,7
Anadia;-0,19;-0,85;0,65;51,4;30,2;68,3
Aveiro;1,11;-0,14;1,24;45,5;26,7;62,6
Estarreja;0,38;-0,52;0,89;48;27,1;64,8
Ílhavo;1,43;-0,25;1,68;46,3;26,3;62,8
Murtosa;0,35;-0,72;1,07;46,8;26,5;64,7
Oliveira do Bairro;1,56;-0,41;1,97;46,1;25,8;63,8
Ovar;0,29;-0,24;0,52;47,1;26,8;63,1
Sever do Vouga;-0,98;-0,85;-0,13;52;30,5;68,6
Vagos;1,21;-0,33;1,54;46,8;26,6;64,5
   Região de Coimbra;-0,03;-0,7;0,67;50,1;29,4;67,3
Arganil;-0,34;-1,25;0,91;54,6;33;70,3
Cantanhede;-0,06;-0,79;0,73;51,1;30;68,9
Coimbra;0,26;-0,42;0,67;48,3;28,4;65,7
Condeixa-a-Nova;1;-0,36;1,36;47,1;26,4;63,3
Figueira da Foz;-0,09;-0,77;0,67;50,9;30;67,6
Góis;-0,5;-1,75;1,25;57,2;36,5;72,7
Lousã;0,15;-0,43;0,58;47,4;26,6;63,7
Mealhada;0,12;-0,62;0,75;49,3;29,1;66,1
Mira;0,07;-0,7;0,78;51,2;30,1;69,2
Miranda do Corvo;-0,41;-0,98;0,57;51,1;29,4;66,7
Montemor-o-Velho;-0,09;-0,68;0,58;48,9;29,2;65,9
Mortágua;-0,99;-1,04;0,04;55,3;34,1;71,3
Oliveira do Hospital;-0,88;-0,94;0,06;51,3;29,5;67,6
Pampilhosa da Serra;-0,59;-2,07;1,48;62,6;41,5;75,6
Penacova;-1,24;-1,2;-0,04;54,3;33,8;70,2
Penela;0,42;-0,89;1,31;52,3;31,3;69,8
Soure;-0,92;-1,26;0,34;53,6;32,7;70,8
Tábua;0,35;-0,74;1,09;51,2;29,8;68,6
Vila Nova de Poiares;0,4;-0,74;1,14;49,1;28,7;65,7
   Região de Leiria;0,16;-0,47;0,62;48,1;27,3;65,5
Alvaiázere;-0,46;-1,54;1,08;57,3;34,7;72,4
Ansião;-0,22;-0,91;0,68;53,4;31,7;70,2
Batalha;0,98;-0,35;1,33;46,3;25,7;63,8
Castanheira de Pêra;-0,56;-1,75;1,19;57,6;34,9;71,9
Figueiró dos Vinhos;-1,05;-1,91;0,86;56,5;35,1;70,8
Leiria;0,39;-0,14;0,53;46,4;26,2;63,5
Marinha Grande;0,47;-0,42;0,9;46,9;26,7;64
Pedrógão Grande;0,4;-1,68;2,08;56;34,3;70,4
Pombal;-0,6;-0,75;0,15;50,6;28,9;68,2
Porto de Mós;0,06;-0,66;0,73;48,1;26,9;65,2
   Viseu Dão Lafões;-0,4;-0,8;0,4;50;28,8;67,7
Aguiar da Beira;-0,66;-1,93;1,26;57,8;35,5;72,5
Carregal do Sal;-0,14;-0,5;0,35;52,6;29,7;69,8
Castro Daire;-0,65;-1,17;0,53;54,4;32,3;70,1
Mangualde;-0,34;-0,9;0,56;50,9;29,3;68,2
Nelas;-0,5;-0,91;0,41;51;29,4;68,9
Oliveira de Frades;-0,45;-0,73;0,28;47,6;27;65,2
Penalva do Castelo;-0,99;-1,49;0,51;54,6;33;71,5
Santa Comba Dão;-0,04;-1,09;1,06;52,4;30,8;70,1
São Pedro do Sul;-1,01;-1,2;0,19;53,9;31,1;70,3
Sátão;-0,06;-0,81;0,74;52,1;29,7;68,9
Tondela;-1,05;-1,11;0,06;53,1;31,3;70
Vila Nova de Paiva;0;-1,13;1,13;53,7;31;70
Viseu;-0,13;-0,43;0,3;46,9;26,5;64,5
Vouzela;-0,71;-1,11;0,39;52,1;30,9;69,7
   Beira Baixa;-0,4;-1,16;0,76;53,8;32,6;70,6
Castelo Branco;-0,2;-0,76;0,56;50,5;29,7;67,6
Idanha-a-Nova;-0,86;-2,09;1,23;59,9;37,3;75,3
Oleiros;-1,26;-2,08;0,82;62,9;42,4;76,1
Penamacor;-1,07;-2,03;0,96;61,5;41,2;76,5
Proença-a-Nova;-0,79;-1,55;0,76;58,3;36,5;72,7
Vila Velha de Ródão;0,73;-1,68;2,41;60,2;37,1;76,1
   Médio Tejo;0;-0,94;0,94;51;29;67,9
Abrantes;-1,11;-1,3;0,19;53,4;31,8;69,2
Alcanena;-0,06;-0,81;0,76;50,8;28,9;67,7
Constância;1,3;-0,68;1,98;48,3;27,1;65
Entroncamento;1,93;-0,39;2,32;45,5;24,6;62
Ferreira do Zêzere;-0,17;-1,26;1,09;52,7;30,5;69,6
Mação;-1,11;-2,23;1,12;60,1;37,8;75,4
Ourém;0,17;-0,68;0,85;48,9;27,4;66,5
Sardoal;0,17;-1,38;1,55;52,8;32,3;69,1
Sertã;-0,42;-0,93;0,51;53,4;30,6;69,4
Tomar;-0,56;-1,12;0,55;52,8;30,3;68,8
Torres Novas;-0,03;-0,84;0,81;50,2;28,4;67,5
Vila de Rei;0,21;-1,68;1,89;56,1;32,3;73,9
Vila Nova da Barquinha;2,67;-0,43;3,1;48,5;27,2;66,4
   Beiras e Serra da Estrela;-1,01;-1,24;0,22;54,3;32,8;70,2
Almeida;-1,62;-2,32;0,7;62;41,2;75,6
Belmonte;-0,48;-0,92;0,44;53,5;32,4;69,5
Celorico da Beira;-0,6;-0,99;0,4;55,9;34,2;71,6
Covilhã;-0,8;-0,93;0,13;52;31,1;68,5
Figueira de Castelo Rodrigo;-0,61;-1,36;0,75;57,2;34,2;73
Fornos de Algodres;-1,32;-1,75;0,43;56,4;34,2;71,9
Fundão;-0,63;-1,16;0,53;53,6;32,2;69,9
Gouveia;-1,09;-1,59;0,5;58,1;35,9;72,9
Guarda;-0,88;-0,65;-0,23;49,6;29;65,6
Manteigas;-1,78;-1,71;-0,07;58,3;35,7;71,7
Mêda;-1,27;-1,51;0,24;58,4;36,6;73,2
Pinhel;-1,65;-1,86;0,21;58,6;38,1;73,2
Sabugal;-1,63;-2,46;0,83;62;40,1;76
Seia;-1,46;-1,51;0,05;55,7;34,4;70,8
Trancoso;-1,32;-1,51;0,19;56,6;35,8;72,3
  A. M. Lisboa;0,55;-0,11;0,66;45;24,9;62,6
Alcochete;1,24;-0,12;1,36;44,8;22,5;59,1
Almada;0,16;-0,29;0,45;46,3;25,7;64,5
Amadora;0,78;0,04;0,74;44,1;25,2;63,1
Barreiro;0,19;-0,37;0,56;47;26,2;65,7
Cascais;0,02;-0,26;0,29;46,9;24,7;63,7
Lisboa;0,65;-0,3;0,95;44,8;26,7;63,7
Loures;0,5;0,03;0,47;44,6;24,4;62,9
Mafra;0,8;0;0,8;43,8;22,5;59,1
Moita;1,08;-0,07;1,15;45;23,9;62,9
Montijo;1,38;-0,14;1,52;42,6;23,4;59,3
Odivelas;0,83;0,19;0,64;43,7;24,4;61,9
Oeiras;0,53;-0,23;0,76;46,5;25,4;64,6
Palmela;1,62;-0,27;1,89;45,3;24,2;62
Seixal;1;0;1;44,9;24,5;62,7
Sesimbra;1,62;-0,14;1,76;44,8;24,1;61,5
Setúbal;-0,47;-0,42;-0,06;46,6;24,9;64,2
Sintra;0,39;0,18;0,21;43,7;23,7;59,8
Vila Franca de Xira;0,23;0,04;0,18;44,1;23,8;60,4
  Alentejo;0,16;-0,83;1;48,8;27,8;66,4
   Alentejo Litoral;0,82;-0,6;1,42;47,5;29,1;65,9
Alcácer do Sal;-0,72;-0,93;0,21;52,2;30,8;69,1
Grândola;-0,17;-0,94;0,77;48,4;28,8;66,8
Odemira;2,57;-0,46;3,03;44,6;29,3;63,3
Santiago do Cacém;0,08;-0,69;0,77;50;30;67,8
Sines;0,63;-0,14;0,77;46;26,1;63,7
   Baixo Alentejo;-0,37;-1;0,63;49,3;27,5;66,6
Aljustrel;-0,1;-0,81;0,71;50,3;29,6;67,2
Almodôvar;-1,26;-1,4;0,13;52,5;30,9;69,8
Alvito;-1,67;-2,11;0,44;49,1;26,2;67,3
Barrancos;-2,77;-2,03;-0,74;50,9;26,2;63,5
Beja;-0,42;-0,78;0,37;46,5;25,1;63,8
Castro Verde;0,19;-0,81;0,99;50;28,6;66,4
Cuba;0,43;-0,86;1,29;47,4;26,8;65,2
Ferreira do Alentejo;-0,31;-1,61;1,3;48,5;28,9;67,5
Mértola;-1,19;-1,77;0,58;56,8;36,8;72,1
Moura;-0,07;-0,55;0,48;48,1;23,6;66,1
Ourique;-0,12;-1,29;1,16;53,9;32,9;70,9
Serpa;-0,31;-0,8;0,49;51,8;29,2;67,3
Vidigueira;0,19;-1,32;1,51;48,7;27,2;66,3
   Lezíria do Tejo;0,97;-0,65;1,62;47,8;26,7;65,5
Almeirim;0,97;-0,55;1,52;47,6;26,4;65,4
Alpiarça;1,32;-0,77;2,09;49,3;27;67,8
Azambuja;1,18;-0,62;1,8;46,1;26,5;63,7
Benavente;2,34;-0,05;2,39;44,2;23,6;60,7
Cartaxo;0,99;-0,61;1,6;47,8;27,1;65,1
Chamusca;-0,12;-1,25;1,14;52,6;31,9;69,2
Coruche;-0,59;-1,49;0,9;54;31,5;70,2
Golegã;-0,45;-1,22;0,78;49,7;28,4;67,7
Rio Maior;0,87;-0,53;1,4;46,6;26,1;64,1
Salvaterra de Magos;2,19;-0,76;2,95;48,4;27,1;66,1
Santarém;0,46;-0,63;1,09;48,3;26,8;65,9
   Alto Alentejo;-0,87;-1,2;0,33;51,2;29,1;68,3
Alter do Chão;1,05;-1,56;2,61;52,6;29,3;70,7
Arronches;-0,4;-1,4;1,01;52;30,9;69,1
Avis;-1,1;-1,31;0,21;52,9;31;70
Campo Maior;-0,96;-0,76;-0,2;46,2;24;64,1
Castelo de Vide;-0,25;-1,81;1,56;54,7;34,4;71,3
Crato;0,34;-1,6;1,94;56,9;36,4;73,9
Elvas;-1,15;-1,05;-0,09;48;25,3;64,7
Fronteira;-0,41;-1,36;0,95;53;31,8;69,9
Gavião;-0,59;-2,17;1,57;59,8;39,8;76,1
Marvão;-1,05;-2,03;0,98;54,7;33,7;70,8
Monforte;-1,04;-1,81;0,77;49,1;25,2;67,7
Nisa;-1,85;-2,3;0,45;58,8;38,4;74,4
Ponte de Sor;-0,57;-0,83;0,27;51,8;30;68
Portalegre;-1,13;-0,77;-0,36;50;28,4;67,1
Sousel;-0,95;-1,59;0,64;51,4;29,9;70
   Alentejo Central;-0,43;-0,9;0,47;49,2;28,1;66,5
Alandroal;-0,54;-1,67;1,14;53,2;33,1;69,2
Arraiolos;0,34;-1,43;1,77;50,2;29,6;67,3
Borba;-0,93;-1,06;0,12;51,8;29,9;67,9
Estremoz;-1,03;-1,11;0,08;51,3;29,9;68
Évora;-0,48;-0,59;0,11;46,9;26,3;64,2
Montemor-o-Novo;-0,81;-1,17;0,36;50,4;30;68,7
Mora;-0,26;-1,79;1,53;57;35,3;72,5
Mourão;0,46;-0,92;1,38;48,9;25,1;65,9
Portel;-0,54;-0,85;0,31;49,7;28,3;67,4
Redondo;-0,38;-0,99;0,61;49,8;28,9;66,8
Reguengos de Monsaraz;-0,7;-1,08;0,38;49,1;27,5;66
Vendas Novas;0,54;-0,59;1,13;49,2;27,7;68,6
Viana do Alentejo;0,99;-0,95;1,94;48,1;26,8;65,3
Vila Viçosa;-0,9;-0,78;-0,12;51;30;66,3
  Algarve;0,43;-0,38;0,8;47;26,6;64,4
Albufeira;1,03;0,04;0,99;44,4;25,6;60,6
Alcoutim;-2,21;-3,14;0,93;62,6;41,4;76,1
Aljezur;0,08;-0,67;0,75;48,5;29;66,1
Castro Marim;1,42;-0,82;2,23;52,6;29,7;69,5
Faro;0,49;-0,23;0,72;45,7;25,9;63
Lagoa;0,76;-0,46;1,21;47,4;25,8;64,2
Lagos;-0,21;-0,4;0,19;48,7;27,5;65,5
Loulé;0,15;-0,39;0,55;46,9;26,5;64,2
Monchique;-1,22;-1,45;0,22;55,7;34,8;70,5
Olhão;-0,08;-0,45;0,36;46,2;25,2;63,8
Portimão;0,99;-0,06;1,06;45,5;25,2;63,1
São Brás de Alportel;0,59;-0,54;1,13;47,9;27,4;65,9
Silves;0,89;-0,54;1,43;47,1;27,1;64,9
Tavira;-0,07;-0,71;0,64;51,2;30,6;68,1
Vila do Bispo;-0,1;-0,62;0,52;49,4;29,6;66,8
Vila Real de Santo António;0,39;-0,59;0,98;48,2;26,5;66
 R. A. Açores;0,48;-0,27;0,75;42,7;23,9;59,1
  Santa Maria;0,13;-0,57;0,69;43,1;23,7;60
Vila do Porto;0,13;-0,57;0,69;43,1;23,7;60
  São Miguel;0,75;-0,06;0,81;41,1;22,7;57,1
Lagoa (R.A.A.);1,72;0,05;1,67;39,9;21,5;55,4
Nordeste;-0,09;-0,97;0,88;46;25;61,9
Ponta Delgada;0,69;-0,08;0,77;42,2;24,1;58,1
Povoação;0,02;-0,9;0,92;44,2;24,5;60
Ribeira Grande;0,87;0,26;0,61;37,8;19,7;53,5
Vila Franca do Campo;0,14;-0,21;0,35;42;23,5;58
  Terceira;0,04;-0,48;0,52;44,5;25,7;61,3
Angra do Heroísmo;-0,07;-0,52;0,45;44,6;25,7;61,3
Vila da Praia da Vitória;0,24;-0,4;0,64;44,2;25,7;61,1
  Graciosa;0,07;-0,63;0,71;44,9;24,8;62,6
Santa Cruz da Graciosa;0,07;-0,63;0,71;44,9;24,8;62,6
  São Jorge;-0,04;-0,8;0,77;46,3;27,2;63
Calheta (R.A.A.);-0,09;-0,94;0,85;46,7;26,5;64,3
Velas;0;-0,71;0,71;46,1;27,5;62,2
  Pico;0,6;-0,68;1,28;45,8;26,9;62,5
Lajes do Pico;-0,46;-0,93;0,48;47,9;27,7;64,8
Madalena;0,62;-0,73;1,35;44,3;25,5;61
São Roque do Pico;1,96;-0,27;2,23;46;28,6;62,6
  Faial;-0,04;-0,41;0,37;45,6;26,2;61,7
Horta;-0,04;-0,41;0,37;45,6;26,2;61,7
  Flores;0,34;-0,77;1,12;45,9;27,2;61,4
Lajes das Flores;1,26;-0,63;1,89;47,2;27,6;62,4
Santa Cruz das Flores;-0,29;-0,87;0,58;44,9;26,7;60,6
  Corvo;4,5;0,47;4,02;44,9;26,9;59,3
Corvo;4,5;0,47;4,02;44,9;26,9;59,3
 R. A. Madeira;0,22;-0,53;0,76;46,7;26,2;62
Calheta (R.A.M.);-0,05;-1,15;1,09;49,6;28,4;65,5
Câmara de Lobos;0,21;-0,14;0,35;42,4;22,8;58,3
Funchal;0,03;-0,58;0,61;48;27,7;63,3
Machico;-0,56;-0,72;0,16;48,3;27,4;62,8
Ponta do Sol;0,52;-0,77;1,28;47,3;25,6;62,5
Porto Moniz;0,24;-1,32;1,56;52,3;31,3;68,4
Ribeira Brava;0,2;-0,83;1,04;46,5;25,2;62,2
Santa Cruz;1,05;-0,12;1,17;43,7;23,9;57,8
Santana;-1,16;-1,22;0,06;52,6;31,2;67,6
São Vicente;-0,08;-1,09;1,01;51,2;29,9;66,8
Porto Santo;2,6;-0,44;3,03;47,2;27,6;61,5
Name;Crude rate of increase;Crude rate of natural increase;Crude migratory rate;Median age of the resident population;1st quartile of resident population age;3rd quartile of resident population age
;%;;;Years;;
;2022;;;;;
